15.1649 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
63.7158 	EXP 	fixation: autoDraw = True
63.7160 	EXP 	window1: recordFrameIntervals = False
64.7158 	EXP 	fixation: autoDraw = False
65.7164 	EXP 	grating: autoDraw = True
65.7164 	EXP 	grating: tex = 'sin'
66.0166 	EXP 	grating: autoDraw = False
66.1018 	EXP 	window1: recordFrameIntervals = False
66.1043 	DATA 	Keypress: right
66.1164 	EXP 	fixation: autoDraw = False
66.1164 	EXP 	grating: autoDraw = False
66.1164 	EXP 	fixation: autoDraw = True
66.1166 	EXP 	window1: recordFrameIntervals = False
67.1165 	EXP 	fixation: autoDraw = False
68.1007 	EXP 	grating: autoDraw = True
68.1007 	EXP 	grating: tex = 'sin'
68.4006 	EXP 	grating: autoDraw = False
68.4364 	EXP 	window1: recordFrameIntervals = False
68.4389 	DATA 	Keypress: left
68.4506 	EXP 	fixation: autoDraw = False
68.4506 	EXP 	grating: autoDraw = False
68.4506 	EXP 	fixation: autoDraw = True
68.4508 	EXP 	window1: recordFrameIntervals = False
69.4510 	EXP 	fixation: autoDraw = False
70.4352 	EXP 	grating: autoDraw = True
70.4352 	EXP 	grating: tex = 'sin'
70.7349 	EXP 	grating: autoDraw = False
70.7705 	EXP 	window1: recordFrameIntervals = False
70.7730 	DATA 	Keypress: left
70.7849 	EXP 	fixation: autoDraw = False
70.7849 	EXP 	grating: autoDraw = False
70.7849 	EXP 	fixation: autoDraw = True
70.7851 	EXP 	window1: recordFrameIntervals = False
71.7850 	EXP 	fixation: autoDraw = False
72.7692 	EXP 	grating: autoDraw = True
72.7692 	EXP 	grating: tex = 'sin'
73.0690 	EXP 	grating: autoDraw = False
73.2389 	EXP 	window1: recordFrameIntervals = False
73.2425 	DATA 	Keypress: right
73.2529 	EXP 	fixation: autoDraw = False
73.2529 	EXP 	grating: autoDraw = False
73.2529 	EXP 	fixation: autoDraw = True
73.2532 	EXP 	window1: recordFrameIntervals = False
74.2528 	EXP 	fixation: autoDraw = False
75.2539 	EXP 	grating: autoDraw = True
75.2539 	EXP 	grating: tex = 'sin'
75.5533 	EXP 	grating: autoDraw = False
75.6392 	EXP 	window1: recordFrameIntervals = False
75.6416 	DATA 	Keypress: right
75.6535 	EXP 	fixation: autoDraw = False
75.6535 	EXP 	grating: autoDraw = False
75.6535 	EXP 	fixation: autoDraw = True
75.6537 	EXP 	window1: recordFrameIntervals = False
76.6536 	EXP 	fixation: autoDraw = False
77.6379 	EXP 	grating: autoDraw = True
77.6379 	EXP 	grating: tex = 'sin'
77.9375 	EXP 	grating: autoDraw = False
78.0401 	EXP 	window1: recordFrameIntervals = False
78.0426 	DATA 	Keypress: left
78.0544 	EXP 	fixation: autoDraw = False
78.0544 	EXP 	grating: autoDraw = False
78.0544 	EXP 	fixation: autoDraw = True
78.0547 	EXP 	window1: recordFrameIntervals = False
79.0546 	EXP 	fixation: autoDraw = False
80.0386 	EXP 	grating: autoDraw = True
80.0386 	EXP 	grating: tex = 'sin'
80.3387 	EXP 	grating: autoDraw = False
80.4573 	EXP 	window1: recordFrameIntervals = False
80.4599 	DATA 	Keypress: right
80.4721 	EXP 	fixation: autoDraw = False
80.4721 	EXP 	grating: autoDraw = False
80.4721 	EXP 	fixation: autoDraw = True
80.4724 	EXP 	window1: recordFrameIntervals = False
81.4721 	EXP 	fixation: autoDraw = False
82.4560 	EXP 	grating: autoDraw = True
82.4560 	EXP 	grating: tex = 'sin'
82.7561 	EXP 	grating: autoDraw = False
82.7750 	EXP 	window1: recordFrameIntervals = False
82.7775 	DATA 	Keypress: left
82.7896 	EXP 	fixation: autoDraw = False
82.7896 	EXP 	grating: autoDraw = False
82.7896 	EXP 	fixation: autoDraw = True
82.7898 	EXP 	window1: recordFrameIntervals = False
83.7897 	EXP 	fixation: autoDraw = False
84.7737 	EXP 	grating: autoDraw = True
84.7737 	EXP 	grating: tex = 'sin'
85.0737 	EXP 	grating: autoDraw = False
85.1258 	EXP 	window1: recordFrameIntervals = False
85.1283 	DATA 	Keypress: left
85.1405 	EXP 	fixation: autoDraw = False
85.1405 	EXP 	grating: autoDraw = False
85.1405 	EXP 	fixation: autoDraw = True
85.1407 	EXP 	window1: recordFrameIntervals = False
86.1406 	EXP 	fixation: autoDraw = False
87.1247 	EXP 	grating: autoDraw = True
87.1247 	EXP 	grating: tex = 'sin'
87.4249 	EXP 	grating: autoDraw = False
87.4433 	EXP 	window1: recordFrameIntervals = False
87.4464 	DATA 	Keypress: right
87.4583 	EXP 	fixation: autoDraw = False
87.4583 	EXP 	grating: autoDraw = False
87.4583 	EXP 	fixation: autoDraw = True
87.4585 	EXP 	window1: recordFrameIntervals = False
88.4579 	EXP 	fixation: autoDraw = False
89.4424 	EXP 	grating: autoDraw = True
89.4424 	EXP 	grating: tex = 'sin'
89.7423 	EXP 	grating: autoDraw = False
89.8279 	EXP 	window1: recordFrameIntervals = False
89.8304 	DATA 	Keypress: right
89.8424 	EXP 	fixation: autoDraw = False
89.8424 	EXP 	grating: autoDraw = False
89.8424 	EXP 	fixation: autoDraw = True
89.8426 	EXP 	window1: recordFrameIntervals = False
90.8423 	EXP 	fixation: autoDraw = False
91.8264 	EXP 	grating: autoDraw = True
91.8264 	EXP 	grating: tex = 'sin'
92.1262 	EXP 	grating: autoDraw = False
92.3288 	EXP 	window1: recordFrameIntervals = False
92.3314 	DATA 	Keypress: left
92.3434 	EXP 	fixation: autoDraw = False
92.3434 	EXP 	grating: autoDraw = False
92.3434 	EXP 	fixation: autoDraw = True
92.3437 	EXP 	window1: recordFrameIntervals = False
93.3432 	EXP 	fixation: autoDraw = False
94.3272 	EXP 	grating: autoDraw = True
94.3272 	EXP 	grating: tex = 'sin'
94.6272 	EXP 	grating: autoDraw = False
94.7466 	EXP 	window1: recordFrameIntervals = False
94.7507 	DATA 	Keypress: left
94.7609 	EXP 	fixation: autoDraw = False
94.7609 	EXP 	grating: autoDraw = False
94.7609 	EXP 	fixation: autoDraw = True
94.7613 	EXP 	window1: recordFrameIntervals = False
95.7609 	EXP 	fixation: autoDraw = False
96.7450 	EXP 	grating: autoDraw = True
96.7450 	EXP 	grating: tex = 'sin'
97.0449 	EXP 	grating: autoDraw = False
97.0807 	EXP 	window1: recordFrameIntervals = False
97.0833 	DATA 	Keypress: left
97.0951 	EXP 	fixation: autoDraw = False
97.0951 	EXP 	grating: autoDraw = False
97.0951 	EXP 	fixation: autoDraw = True
97.0953 	EXP 	window1: recordFrameIntervals = False
98.0951 	EXP 	fixation: autoDraw = False
99.0958 	EXP 	grating: autoDraw = True
99.0958 	EXP 	grating: tex = 'sin'
99.3957 	EXP 	grating: autoDraw = False
99.4313 	EXP 	window1: recordFrameIntervals = False
99.4344 	DATA 	Keypress: right
99.4459 	EXP 	fixation: autoDraw = False
99.4459 	EXP 	grating: autoDraw = False
99.4459 	EXP 	fixation: autoDraw = True
99.4461 	EXP 	window1: recordFrameIntervals = False
100.4462 	EXP 	fixation: autoDraw = False
101.4300 	EXP 	grating: autoDraw = True
101.4300 	EXP 	grating: tex = 'sin'
101.7299 	EXP 	grating: autoDraw = False
101.8491 	EXP 	window1: recordFrameIntervals = False
101.8517 	DATA 	Keypress: right
101.8635 	EXP 	fixation: autoDraw = False
101.8635 	EXP 	grating: autoDraw = False
101.8635 	EXP 	fixation: autoDraw = True
101.8637 	EXP 	window1: recordFrameIntervals = False
102.8637 	EXP 	fixation: autoDraw = False
103.8480 	EXP 	grating: autoDraw = True
103.8480 	EXP 	grating: tex = 'sin'
104.1475 	EXP 	grating: autoDraw = False
104.4165 	EXP 	window1: recordFrameIntervals = False
104.4190 	DATA 	Keypress: right
104.4310 	EXP 	fixation: autoDraw = False
104.4310 	EXP 	grating: autoDraw = False
104.4310 	EXP 	fixation: autoDraw = True
104.4313 	EXP 	window1: recordFrameIntervals = False
105.4314 	EXP 	fixation: autoDraw = False
106.4151 	EXP 	grating: autoDraw = True
106.4151 	EXP 	grating: tex = 'sin'
106.7153 	EXP 	grating: autoDraw = False
106.8178 	EXP 	window1: recordFrameIntervals = False
106.8204 	DATA 	Keypress: right
106.8321 	EXP 	fixation: autoDraw = False
106.8321 	EXP 	grating: autoDraw = False
106.8321 	EXP 	fixation: autoDraw = True
106.8323 	EXP 	window1: recordFrameIntervals = False
107.8321 	EXP 	fixation: autoDraw = False
108.8165 	EXP 	grating: autoDraw = True
108.8165 	EXP 	grating: tex = 'sin'
109.1161 	EXP 	grating: autoDraw = False
109.3517 	EXP 	window1: recordFrameIntervals = False
109.3543 	DATA 	Keypress: right
109.3664 	EXP 	fixation: autoDraw = False
109.3664 	EXP 	grating: autoDraw = False
109.3664 	EXP 	fixation: autoDraw = True
109.3666 	EXP 	window1: recordFrameIntervals = False
110.3665 	EXP 	fixation: autoDraw = False
111.3505 	EXP 	grating: autoDraw = True
111.3505 	EXP 	grating: tex = 'sin'
111.6508 	EXP 	grating: autoDraw = False
111.8195 	EXP 	window1: recordFrameIntervals = False
111.8220 	DATA 	Keypress: left
111.8343 	EXP 	fixation: autoDraw = False
111.8343 	EXP 	grating: autoDraw = False
111.8343 	EXP 	fixation: autoDraw = True
111.8346 	EXP 	window1: recordFrameIntervals = False
112.8339 	EXP 	fixation: autoDraw = False
113.8184 	EXP 	grating: autoDraw = True
113.8184 	EXP 	grating: tex = 'sin'
114.1180 	EXP 	grating: autoDraw = False
114.2542 	EXP 	window1: recordFrameIntervals = False
114.2567 	DATA 	Keypress: left
114.2685 	EXP 	fixation: autoDraw = False
114.2685 	EXP 	grating: autoDraw = False
114.2685 	EXP 	fixation: autoDraw = True
114.2688 	EXP 	window1: recordFrameIntervals = False
115.2683 	EXP 	fixation: autoDraw = False
116.2689 	EXP 	grating: autoDraw = True
116.2689 	EXP 	grating: tex = 'sin'
116.5687 	EXP 	grating: autoDraw = False
116.6380 	EXP 	window1: recordFrameIntervals = False
116.6405 	DATA 	Keypress: left
116.6525 	EXP 	fixation: autoDraw = False
116.6525 	EXP 	grating: autoDraw = False
116.6525 	EXP 	fixation: autoDraw = True
116.6527 	EXP 	window1: recordFrameIntervals = False
117.6525 	EXP 	fixation: autoDraw = False
118.6367 	EXP 	grating: autoDraw = True
118.6367 	EXP 	grating: tex = 'sin'
118.9365 	EXP 	grating: autoDraw = False
119.1386 	EXP 	window1: recordFrameIntervals = False
119.1411 	DATA 	Keypress: right
119.1533 	EXP 	fixation: autoDraw = False
119.1533 	EXP 	grating: autoDraw = False
119.1533 	EXP 	fixation: autoDraw = True
119.1535 	EXP 	window1: recordFrameIntervals = False
120.1535 	EXP 	fixation: autoDraw = False
121.1379 	EXP 	grating: autoDraw = True
121.1379 	EXP 	grating: tex = 'sin'
121.1902 	EXP 	window1: recordFrameIntervals = False
121.1928 	DATA 	Keypress: left
121.2042 	EXP 	fixation: autoDraw = False
121.2042 	EXP 	grating: autoDraw = False
121.2042 	EXP 	fixation: autoDraw = True
121.2044 	EXP 	window1: recordFrameIntervals = False
122.2043 	EXP 	fixation: autoDraw = False
123.1883 	EXP 	grating: autoDraw = True
123.1883 	EXP 	grating: tex = 'sin'
123.4886 	EXP 	grating: autoDraw = False
123.6740 	EXP 	window1: recordFrameIntervals = False
123.6764 	DATA 	Keypress: right
123.6885 	EXP 	fixation: autoDraw = False
123.6885 	EXP 	grating: autoDraw = False
123.6885 	EXP 	fixation: autoDraw = True
123.6887 	EXP 	window1: recordFrameIntervals = False
124.6885 	EXP 	fixation: autoDraw = False
125.6726 	EXP 	grating: autoDraw = True
125.6726 	EXP 	grating: tex = 'sin'
125.9727 	EXP 	grating: autoDraw = False
129.3097 	EXP 	window1: recordFrameIntervals = False
129.3122 	DATA 	Keypress: left
129.3244 	EXP 	fixation: autoDraw = False
129.3244 	EXP 	grating: autoDraw = False
129.3244 	EXP 	fixation: autoDraw = True
129.3246 	EXP 	window1: recordFrameIntervals = False
130.3240 	EXP 	fixation: autoDraw = False
131.3081 	EXP 	grating: autoDraw = True
131.3081 	EXP 	grating: tex = 'sin'
131.6080 	EXP 	grating: autoDraw = False
131.7102 	EXP 	window1: recordFrameIntervals = False
131.7127 	DATA 	Keypress: left
131.7247 	EXP 	fixation: autoDraw = False
131.7247 	EXP 	grating: autoDraw = False
131.7247 	EXP 	fixation: autoDraw = True
131.7250 	EXP 	window1: recordFrameIntervals = False
132.7252 	EXP 	fixation: autoDraw = False
133.7093 	EXP 	grating: autoDraw = True
133.7093 	EXP 	grating: tex = 'sin'
134.0088 	EXP 	grating: autoDraw = False
134.1614 	EXP 	window1: recordFrameIntervals = False
134.1639 	DATA 	Keypress: left
134.1760 	EXP 	fixation: autoDraw = False
134.1760 	EXP 	grating: autoDraw = False
134.1760 	EXP 	fixation: autoDraw = True
134.1762 	EXP 	window1: recordFrameIntervals = False
135.1758 	EXP 	fixation: autoDraw = False
136.1600 	EXP 	grating: autoDraw = True
136.1600 	EXP 	grating: tex = 'sin'
136.4598 	EXP 	grating: autoDraw = False
136.5789 	EXP 	window1: recordFrameIntervals = False
136.5814 	DATA 	Keypress: right
136.5933 	EXP 	fixation: autoDraw = False
136.5933 	EXP 	grating: autoDraw = False
136.5933 	EXP 	fixation: autoDraw = True
136.5936 	EXP 	window1: recordFrameIntervals = False
137.5940 	EXP 	fixation: autoDraw = False
138.5776 	EXP 	grating: autoDraw = True
138.5776 	EXP 	grating: tex = 'sin'
138.8774 	EXP 	grating: autoDraw = False
139.0800 	EXP 	window1: recordFrameIntervals = False
139.0827 	DATA 	Keypress: right
139.0942 	EXP 	fixation: autoDraw = False
139.0942 	EXP 	grating: autoDraw = False
139.0942 	EXP 	fixation: autoDraw = True
139.0944 	EXP 	window1: recordFrameIntervals = False
140.0944 	EXP 	fixation: autoDraw = False
141.0788 	EXP 	grating: autoDraw = True
141.0788 	EXP 	grating: tex = 'sin'
141.3784 	EXP 	grating: autoDraw = False
141.4313 	DATA 	Keypress: left
141.4476 	EXP 	window1: recordFrameIntervals = False
141.4618 	EXP 	fixation: autoDraw = False
141.4618 	EXP 	grating: autoDraw = False
141.4618 	EXP 	fixation: autoDraw = True
141.4620 	EXP 	window1: recordFrameIntervals = False
142.4619 	EXP 	fixation: autoDraw = False
143.4461 	EXP 	grating: autoDraw = True
143.4461 	EXP 	grating: tex = 'sin'
143.7463 	EXP 	grating: autoDraw = False
143.7820 	EXP 	window1: recordFrameIntervals = False
143.7845 	DATA 	Keypress: left
