trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,down,0.01,db,0.04891814773922974,0.0006397999968612567,91.82638279999082,91.82638279999082,92.12624489999143,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,down,0.01,db,0.0488618610477905,0.0007082000083755702,94.3271539999987,94.3271539999987,94.62719810000272,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,down,0.01,db,0.048805639121510605,0.0009509000083198771,96.74500699999044,96.74500699999044,97.04490959999384,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,down,0.01,db,0.04874948188586931,0.0006219000060809776,99.09578010000405,99.09578010000405,99.39569170000323,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,down,0.01,db,0.04869338926643163,0.0006617999897571281,101.43003059999319,101.43003059999319,101.72994319999998,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,down,0.01,db,0.04863736118884821,0.0006715000054100528,103.84801560000051,103.84801560000051,104.14746949999244,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,down,0.01,db,0.04858139757885526,0.0006503000040538609,106.41511259999243,106.41511259999243,106.71525579999434,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,down,0.01,db,0.04852549836227443,0.0006457999988924712,108.81651740000234,108.81651740000234,109.11607920000097,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,down,0.01,db,0.048469663465012726,0.0006997000018600374,111.35051669999666,111.35051669999666,111.65078480000375,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,down,0.01,db,0.0484138928130624,0.0006867999909445643,113.81841649999842,113.81841649999842,114.1179981000023,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,down,0.01,db,0.04835818633250087,0.0006481000018538907,116.26888619999227,116.26888619999227,116.56874639999296,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,down,0.01,db,0.04830254394949061,0.000681100005749613,118.63670689999708,118.63670689999708,118.93646179999632,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,down,0.01,db,0.04824696559027904,0.0006496999994851649,121.13794030000281,121.13794030000281,,0,0,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.01,db,0.04830254394949061,0.0006783999997423962,123.18831009999849,123.18831009999849,123.48861960000067,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.01,db,0.04830254394949061,0.0006423000013455749,125.67257110000355,125.67257110000355,125.97273999999743,0,0,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.01,db,0.04835818633250087,0.0006885000038892031,131.3080726999906,131.3080726999906,131.60800629999721,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.01,db,0.04835818633250087,0.00064080000447575,133.70932059999905,133.70932059999905,134.00881810000283,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.01,db,0.04835818633250087,0.0006519000016851351,136.1599664999958,136.1599664999958,136.45977499999572,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,down,0.005,db,0.04833035713341336,0.0006762999983038753,138.57756540000264,138.57756540000264,138.87741849999293,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,down,0.005,db,0.04833035713341336,0.0006247999990591779,141.07876459999534,141.07876459999534,141.37835509999422,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,down,0.005,db,0.04833035713341336,0.0006913999968674034,143.44607619999442,143.44607619999442,143.74626249998983,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,down,0.005,db,0.048302543949490614,0.0006672000017715618,145.7802396999905,145.7802396999905,146.08018119999906,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,down,0.005,db,0.048302543949490614,0.0006773000059183687,148.21461369999452,148.21461369999452,148.51481349999085,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,down,0.005,db,0.048302543949490614,0.0006195999885676429,150.6489591999998,150.6489591999998,150.94911099999445,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,down,0.005,db,0.04827474677151622,0.0006157999887363985,152.9662881999975,152.9662881999975,153.26627939999162,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,down,0.005,db,0.04827474677151622,0.0007488999981433153,155.41725820000283,155.41725820000283,155.71760000000359,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,down,0.005,db,0.04827474677151622,0.0006276999920373783,157.8685167999938,157.8685167999938,158.16815159999533,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,down,0.005,db,0.04824696559027906,0.0006301999965216964,160.38596519999555,160.38596519999555,160.68577379999624,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,down,0.005,db,0.04824696559027906,0.0009725999989314005,162.77043079999567,162.77043079999567,163.07030089999898,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,down,0.005,db,0.04824696559027906,0.0006167999963508919,165.15434120000282,165.15434120000282,165.45421989999886,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,down,0.005,db,0.04821920039657332,0.0005584000027738512,167.53870219999226,167.53870219999226,167.8383918000036,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,down,0.005,db,0.04821920039657332,0.0003991999983554706,169.95647399999143,169.95647399999143,170.256043699992,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,down,0.005,db,0.04821920039657332,0.0006717999931424856,172.47389729999122,172.47389729999122,172.77371409999614,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,down,0.005,db,0.04819145118119849,0.0007322000019485131,174.94256630000018,174.94256630000018,175.25813790000393,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,down,0.005,db,0.04819145118119849,0.0006786000012652948,177.30896919999213,177.30896919999213,177.60888030000206,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,down,0.005,db,0.04819145118119849,0.0006267999997362494,179.6935511999909,179.6935511999909,179.99326889999793,0,0,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,up,0.005,db,0.04821920039657332,0.00069860000803601,182.36105469999893,182.36105469999893,182.6607931999897,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,up,0.005,db,0.04821920039657332,0.0006978999881539494,184.7785309000028,184.7785309000028,185.07842959999107,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,up,0.005,db,0.04821920039657332,0.0006501000025309622,187.34648110000126,187.34648110000126,187.6461477999983,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,down,0.005,db,0.04819145118119849,0.0008374000026378781,189.763856199992,189.763856199992,190.06372049999482,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,down,0.005,db,0.04819145118119849,0.0006901000015204772,192.44842449999123,192.44842449999123,192.74818660000165,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,0.005,db,0.04819145118119849,0.0007190000033006072,194.86602200000198,194.86602200000198,195.16591969999718,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,down,0.005,db,0.04816371793495935,0.0006218000053195283,197.28318859999126,197.28318859999126,197.58317509999324,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,down,0.005,db,0.04816371793495935,0.0007900999917183071,199.7341924999928,199.7341924999928,200.0341260999994,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,down,0.005,db,0.04816371793495935,0.0006829000049037859,202.0854541000008,202.0854541000008,202.38497899999493,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,down,0.005,db,0.048136000648665966,0.0006253000028664246,204.536142500001,204.536142500001,204.83627739999793,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,down,0.005,db,0.048136000648665966,0.0007099999929778278,207.12035060000198,207.12035060000198,207.42023789999075,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,down,0.005,db,0.048136000648665966,0.0006183000077726319,209.5212254999933,209.5212254999933,209.82122260000324,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,0.005,db,0.04810829931313371,0.0007363000040641055,211.92203469999367,211.92203469999367,212.22211780000362,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,0.005,db,0.04810829931313371,0.0006180000054882839,214.37311220000265,214.37311220000265,214.67327600000135,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,down,0.005,db,0.04810829931313371,0.0006997000018600374,220.7254796999914,220.7254796999914,221.0254614000005,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,down,0.005,db,0.04808061391918321,0.0006788000027881935,223.22653159999754,223.22653159999754,223.52679399999033,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,down,0.005,db,0.04808061391918321,0.0006928000075276941,225.84411809999438,225.84411809999438,226.1440675999911,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,down,0.005,db,0.04808061391918321,0.0006219000060809776,228.27852469999925,228.27852469999925,228.57852979999734,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,down,0.005,db,0.04805294445764041,0.0006861000001663342,230.8627153999987,230.8627153999987,231.16263479999907,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,down,0.005,db,0.04805294445764041,0.0006734999915352091,233.31403949999367,233.31403949999367,233.61353319999762,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,down,0.005,db,0.04805294445764041,0.0007101000082911924,235.81494489999022,235.81494489999022,236.11449799999536,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,down,0.005,db,0.048025290919336515,0.0006634000019403175,238.348908999993,238.348908999993,238.64896109999972,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,down,0.005,db,0.048025290919336515,0.0006715999916195869,240.71662969999306,240.71662969999306,241.01654769999732,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,down,0.005,db,0.048025290919336515,0.0006831999926362187,243.1677112000034,243.1677112000034,243.46734339999966,0,0,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,up,0.005,db,0.04805294445764041,0.0006193000008352101,245.9184011000034,245.9184011000034,246.2183542999992,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,up,0.005,db,0.04805294445764041,0.000672800000756979,248.40339789999416,248.40339789999416,248.70298360000015,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,up,0.005,db,0.04805294445764041,0.0006210999999893829,251.0036043,251.0036043,251.3036426000035,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,down,0.005,db,0.048025290919336515,0.0006792000058339909,253.57164369999373,253.57164369999373,253.87132910000219,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,down,0.005,db,0.048025290919336515,0.0006714999908581376,255.9557027999981,255.9557027999981,256.2554894999921,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,down,0.005,db,0.048025290919336515,0.0006527999939862639,258.34027899999637,258.34027899999637,258.6398707999906,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,down,0.005,db,0.04799765329510801,0.0006970000104047358,260.9745353999897,260.9745353999897,261.2744156999979,0,0,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,up,0.005,db,0.048025290919336515,0.0004975000047124922,265.3923289999948,265.3923289999948,265.69236739999906,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
